Indonesian,Javanese
"Dia sangat semangat ketika berolahraga, dan dia tahu jika berolahraga adalah cara terbaik untuk menjaga kesehatan.","Dia padha sengat gebleren nalika milih raga, lan dia ngerti yèn milih raga iku wujudé cara paling apik kanggo nggawé kaweruhan."
"Dia mengunjungi pasar lokal untuk membeli sayuran segar, rempah-rempah, dan bumbu untuk memasak makanan tradisional yang lezat.","Panjenengan mligi kono pasar kanggo njupuk sayur-sayuran sane asri, rempah-rempah lan bumbu kanggo ngetahlok masakan tradisional sing enak."
"Para dokter menghabiskan banyak waktu di rumah sakit untuk menangani pasien yang sakit, dan mengeluarkan sejumlah rekomendasi untuk mengurangi risiko komplikasi.","Dokter padha ngabarisake akèh wendhut ing rumah sakit kanggo nindakake pasien sing lara, lan ngurisèkna sawetara rekomendasi kanggo nurangi risiko kompleks."
"Dia bisa mengekspresikan pikirannya secara jelas dan terbuka, serta dia juga memiliki kemampuan untuk menghadapi kesulitan-kesulitan yang mungkin timbul.","Bisa ngandika supaya dadi gumarang lan weruh, badhe wis bisa mrungu lara-lara sing bisa kenyametan."
"Dia telah berjalan jauh untuk mencapai tujuannya, tapi perjalanannya masih panjang dan melelahkan.","Gadhah sampun nglakoni langkah ageng gandeg kanggo mredhaki tujuane, nanging ala keduman-dume panjang lan / utawa matal."
"""Ketika hujan turun, sangat menyenangkan untuk berjalan-jalan di taman, meskipun suasana hatinya mungkin tidak begitu baik.""","“Yen angin tansah preluhu, ngarsa mbatur kanggo rembug-rembug ing pokuwa, meskipun rasa osahane padha ora bae.”"
"Pohon melindungi kita dari sinar panas matahari, tetapi juga memberi kita pepohonan yang indah untuk menikmati.","banyu nyegah kita saka sirah anom matahari, nanging uga ngasilake pepohonan sing indah kanggo kenang-kenangan."
"Setiap hari ia berlatih keras demi mencapai mimpinya, tetapi ia tidak pernah menyerah meski banyak tantangan yang mesti dihadapi.","Saben dina iku ngalami latihan keras ngadeg obahé mimpiné, nanging iku ora pernah pengap mesembrana ana sawetara tantangan kang wis dhadap."
"Kami bisa menghabiskan hari kami bermain di taman, merenung di tepi sungai, dan mencicipi makanan yang enak di pasar.","Kita bisa maen di taman, mikir di pinggir waduk, lan nyobain jajan apik di pasar."
"Dia tidak bisa makan apa pun selain bubur ayam, tetapi di Jawa dia beradaptasi untuk makan kue gepuk dan nasi talas.","Dia ora bisa mangan apa waé sing teka iku bubur ayam, nanging ing Jawa dia adaptasi kanggo mangan kué gépuk lan nasi talas."
"Pada hari Minggu lalu, saya pergi ke pasar dengan saudara perempuanku, kami membeli banyak buah-buahan dan sayuran untuk persediaan minggu depan.","Sabené Minggu, aku mlayu nang pasar karo saha sisku, aku nindakaké olahan kahiji gedhé saruwe buah kuwi lan sayur-sayuran kanggo simpen saben minggu."
"Ia berjalan keluar dari toko, menggenggam tas yang penuh dengan barang yang baru ia beli.","Ana manggon ning toko, nggegang tas kanthi penuh karo barang kang wis dituku."
"Waktu berjalan dengan cepat, tidak ada lagi yang bisa menghentikannya, jadi mari kita berusaha dan mencoba untuk bersikap positif di dalam setiap situasi.","Waktu prampék, ora ana sing bisa nggedhut, dadi yakin kok, supaya kita tetep positip ing setiap situasi."
Dia adalah seorang anak yang bekerja keras dan berusaha untuk mencapai tujuannya.,Sing jalaran krungu kerjo keras lan tetep pengin nggoleki raincing tujuwane.
"Dia begitu cerdas dan pandai, sehingga dia dapat dengan mudah memecahkan berbagai masalah yang paling rumit.","Dia mau tantalu akeh lan becik, supaya bisa nyelesoake masalah sing paling kalabar tanpa damel."
"Menjaga kelestarian alam adalah tujuan utama kita, karena itu kita harus saling berbagi informasi guna meminimalisir pencemaran dan menjaga kemurnian lingkungan.","Réngkuh ngemaraning alam iku jeneng utama kita, kanggo kuwi kita kudu mbayar-bayar informasi kanggo mbatesi curiit alam lan ngawething kawangsulan lingkungan."
"Dia melakukan pekerjaan dengan baik, tetapi dia suka melakukan kesalahan kecil di sana-sini.","Panjenengan wis pinulung dengan becik, nanging panjenengan terus kelakon sing luwih biasa ana ing sana-sana."
"Susu sapi segar dapat memberikan nutrisi yang dibutuhkan untuk tumbuh secara sehat, sedangkan sambal sebagai makanan pilihan untuk penutup mampu meningkatkan rasa makanan.","Susu sapi sing dipikukrahengan bisa nglilangi kalori sing diperluke, sampeyan bisa milih sambel minangka pangan ngliwati sing bisa ngnambah kelezatan bhaktian."
"Dia telah melakukan banyak tugas, termasuk menjalankan bisnisnya, meningkatkan pengetahuan tentang teknologi dan belajar lebih banyak bahasa.","Dia wis narjamah njero mring kersa, kalebu nyebarke bisnisé, wujudake wawasan ngenani teknologi lan nyambung pangertèn bahasa anyar."
"Aku berencana untuk mengunjungi tempat tujuan terbaik di dunia ini, dan aku yakin souvenir indah akan menyertai perjalananku.","Aku arep ngunjunge tujuan tartendhel ing donya iki, lan aku yakin suvenir kelluwih bakal ngecahaken piyambakku."
"Dia tertarik pada budaya dan sastra Jawa, jadi ia punya banyak buku tentang hal tersebut.","Meskipun iku dadi minangsari, dia bakal nggawe yen dheweke kepenak ing budaya lan sastra Jawa, jadi dia nduwe banyu buku babagan temene."
"Ribuan pohon telah dipanen untuk membuat berbagai produk kayu, dan ada beberapa kegiatan lain yang menggunakan hasil panen ini.","Ribu pohon wis rampung diarimu kanggo nggawe produk kayu kelangan, lan sawetara aktivitas liya wis marai nganggo produk panen iki."
"""Ketika badai berlalu, matahari kembali bersinar, menyebarkan sinar cahayanya yang indah melalui jendela.""","""Nalika gelegen rauh, sinar sawiji kembali nguwai, nyebaraken panguprah wega angging gelem ndhelik ing jendhela."""
"Es krim yang sangat lezat di musim panas adalah sesuatu yang bahagia, dan di Jawa disebut es krim magelon yang juga disebut es krim jajanan pasar yang disukai oleh banyak orang.","Ing musim panas, es krim sing wis wenang kanggo kenikmatan iku wis wis wenang, lan ing Jawa disebut eskrim magelon utawa es krim jajanan pasar kang digembleng déning padha waé."
"Dewi Sri mengirimkan hujan emas untuk menyegarkan jagung dan padi yang tumbuh di sawah, sedangkan Siwa mengirimkan hujan es untuk menyejukkan cahaya matahari yang membakar dahan pohon kelapa di hutan.","Dewi Sri ngirim wèné emas kanggo manguhangi jagung lan padi kang tumebar ing sawah, nanging Siwa ngirim wèné es kanggo manjejukna cahaya matahari kang ngenyekak wedhangan pohon kelapa ing gunung."
"Dia selalu berusaha keras untuk mencapai tujuannya, meskipun itu sesulit dan memakan waktu sebagai batu loncatan baginya.","Panjenengané biasané sumelang saking pangarepé, sedayu ing kesunanan sing nganti dheweke tiyang luwih luwih luwih luwih luwih luwih luwih luwih luwih luwih luwih luwih luwih luwih luwih mung syukur."
"Saya ingin menjelajahi keajaiban dunia, dan saya percaya bahwa ketika kita bekerja sama, kita dapat melakukan hal-hal yang luar biasa.","Aku arep nyilasi keajaiban dunya, lan aku percaya yaiku yen gagane rarek ngendika bareng, bisa padha narik karya sing luwih luwih ajaib."
"Dia bersekolah di sekolah yang diakui secara nasional, sedangkan dia juga belajar di rumah untuk mempertahankan tradisi adat istiadat Jawa.",Dia iki mangdhengi sekolah sing kenal apik banjur dia uga padha nganggo waktu ing omah kanggo nggawe tradisi adat istiadat Jawa.
"Ratusan pohon kokka dengan lebatnya menutupi lanskap di sisi sungai, memberikan penampilan yang menakjubkan untuk setiap orang yang lewat.","Ratusan pohon kokka kanti lebet kalebu kabeh lanskap nang sisi sungiyadiné, nyediakaken gambar teluwur sing langka kanggo wong sing lintas."
"Ibu membeli ikan di pasar, kemudian ia memasak ikan dengan bumbu khas Indonesia untuk makan malam.","Ibune njualin ikan ing pasar, banjur nyiapaken ikan kanthi rasa khas Indonesia kanggo makan sore."
"Mereka menikmati udara sejuk di pagi hari dan menikmati warna merah muda di langit sore, membuat mereka sibuk dengan kegiatan yang mereka sukai.","Dheweke seneng ngudharake angin sarenge ing saben dinten pagi lan seneng ngudharake anggona merah muda ing srengenge sore, banjur nggawe dheweke kesibukan karo karsa kang dheweke suka."
"Kupu-kupu merupakan simbol keindahan dan kehidupan yang berwarna-warni, dan meskipun mereka kecil, mereka dapat membawa banyak kebahagiaan kepada masyarakat.","Brawon-brawon iku simbhol mremah lan urip sing werna-werni, lan selawase kahanan kaula, bisa nora sampeyan kebahagiaan kanggo masyarakat."
"Saya akan bersepeda ke kota, karena saya ingin melihat keindahan dan kemajuan yang ada di tempat tersebut.","Aku bakal membudel mekah menyang kutha, awit aku pengin mirsani kasempoetan lan kemajuan sing ana ing daptar iku."
"Senyumnya adalah gambaran dari lubuk hatinya, meskipun cepat hilang, tetapi itu adalah cara dia mengekspresikan dirinya sendiri.;","Soko hatinaré ngétokake babarampun, sané wis cepet lalad, nanging ngementahi carane dia ngoloniné dhiri dhéwé."
"Saya sangat senang karena ada orang yang ingin berbagi kebahagiaan dengan orang lain, dan saya senang dapat menjadi bagian dari itu.","Akèh aku gembira amarga ana wong sing pengin ngrembugan kahyangan karo liya, lan aku gembira bisa jadi bagéan saka iku."
Bergabunglah dengan kami dan bersama-sama kita akan menghadirkan masa depan yang lebih baik.,Padha nyambut donasi dengan tujuan ngupaya samber elingake masa depan sing sabenera lebas.
"Ia menghabiskan waktu bersama keluarga dan teman-temannya dengan bersenandung, bercanda dan bermain-main di taman setiap hari Sabtu,","Ia piyambakake akeh wektu karo keluarga lan sahabat-sahabat lan dadèn tangisi, wiwit kalakon tarik lan mande-mande ana ing sawijining taman saben pekakilen Sabtu."
"Ia berlari cepat sehingga bisa mencatat waktu yang cepat, tetapi ia tidak menyerah dan terus berjuang untuk mencapai target-nya.","Ia banjur asring lajeng bisa nyumbang waktu sing kang cepet, nanging wong iku ora mbales-mbalani lan terus nekani mencapai sasaran-e."
"Saya berusaha keras untuk menyelesaikan pekerjaan saya dengan cepat dan tepat waktu, dan saya juga berusaha untuk membantu orang-orang disekitar saya supaya mereka juga bisa menyelesaikan pekerjaan mereka dengan cepat dan tepat waktu.","Kula nggarap keras nglampahi pekerjaan kula kanti metu lan metu waktu, lan kula uga nggarap nyedhiyakaken aku, supaya wong-wong sing padha ndekat kula uga isaha nekakoni pekerjaan sing padha nyethet ki metu lan metu waktu."
"Setiap orang punya kebebasan untuk berpikir dengan cara mereka sendiri, dan diperlukan kesabaran dan kejujuran untuk mencapai tujuan yang diinginkan.","Sapa wong nduwe kreasan kanggo ngrungokake aturane sendiri, lan dibutuhake padune lan jujur kanggo nyapu tujuan sing divau."
"Lalu ia berjalan dengan cepat melintasi jalan raya, berharap untuk sampai ke tempat tujuannya dengan selamat.","Saiki dheweke liwat adoh tinimbang jalur utara, arep arep kelangan nyelengi tujuanipun kanthi trigat."
"Kebanyakan orang berpendapat bahwa hari ini adalah hari yang baik untuk melakukan hal-hal yang menyenangkan, tetapi kita juga harus berusaha keras untuk mencapai tujuan kita.","Segawe nyingkarena pitutur nyata yèn dina iku dina punika dipun saged dadi dina sing sengsuwun-suwun kanggo nuduhake hal-hal sing suka, nanging kita uga perlu nggawe kerja keras kanggo bisa ngjebabake obah kita."
Saya berjanji untuk terus memberikan yang terbaik dan mengupayakan yang terbaik bagi masa depan yang lebih baik.,Aku nyumputaken janji kanggo nindakake sing paling apik lan nyebaraken apa sing paling bener ngenculaken jeroan masa depan sing luwih apik.
"""Ketika aku berjalan di tepian sungai hari itu, aku merasa sunyi, namun tidak sepi.""","""Yen wis ndeleng ing sisi pamar dununge ing ngendi kuwi aku weruh dening sregep, sira ora kaya ana sing beda."""
"Seluruh tanah, laut, dan udara kita miliki bersama, oleh karena itu kita harus menjaganya dengan baik agar tidak tercemar dan tetap lestari.","Dhèwèké kabèh dhasar, laut, lan udhara sing kita teka wis miliki bersamaan, marga saka iku kita kudu denteni dadi sing bener lan tetep lestari."
Ibu dan ayahnya adalah pengusaha sukses yang telah menginspirasi banyak orang di seluruh dunia untuk menonjolkan potensi mereka dan meraih ambisi mereka.,Ayah lan mbokmu yaiku para pengusaha sing kanthi gedhe wis nginspirasi Wadon lan Priyayi sawise seluruh dunya nganggo potensi lan rai ambisi marang wong-wong.
"Bell seberina anak, ia takhela pasing dolan ngudagi harapanan awak, sing arep petengi homo mayar saka kemulan lan trigati masalahsora anak padha.","Bella seberrna anèk, dipeksa nglalåkêkaken asa, supaya bisa nutupi kekurangane lan afirmasi masalah anèk luwih akeh."
"Banyak hal yang perlu ditingkatkan, namun dengan pengetahuan dan usaha, semua bisa menjadi nyata.","Banyak sing diurai, nanging nganti kawan asta serta kepraktèké, samun balèné bisa dadi rèa."
Martabat pengendali harus diakui dan penyaluran dana publik harus diawasi dengan hati-hati oleh para pengawas.,Martinahé manajère kudu ditepungi lan aliran dhuwur publik kudu diawasi déning para pangawas kalongan.
Dia berteriak ketakutan sebagai jalanan yang dipenuhi dengan pohon sakura bersemi berwarna merah dibalik badai di malam hari.,Dia nggundul bungkres pisan saiki diladening ing perpustakaan patemon karo sakura melu meluri warna rauh ngagetangaken angin malem.
"Anak-anak senang menonton film di bioskop, tetapi anak-anak juga suka menonton film di rumah.","Anak-anak iseh seneng nonton film ing bioskop, nanging anak-anak uga seneng nonton film ing omah."
"Kami melakukan segala yang terbaik untuk mengikuti jejak mereka yang telah memberikan manfaat atasnya, untuk mendiagnosis dan mengobati penyakit yang berkembang di masa depan.","Kita nganti nerusake babar blasé sing nggawe panggunane, kanggo ngetes lan nyerinna dhewe penyakit sing bisa melu segara ing wae sakdurunge."
"Penyendiri yang lebih ke sini adalah suatu kewajiban penting untuk menginspirasi kehidupan di dalam, serta menjaga emosi dan kesehatan yang sehat.","Racithi kang luwih jenenge iku kalebu gawe angger-angger penting kanggo ibu inspirasi jenenger ing jero, banjur ngerti rasa siyang akèh lan kaweruh jinis sing sakti."
"Hari ini adalah hari yang indah untuk menikmati alam sekitar, dan harapannya adalah untuk melihat persalinan yang cantik di udara.","Iki dalem dina sing apik kanggo nikmati alam, lan punika sampeyan kepengin pandhatane maukake wisesa sing apik susuhe dhewe."
"Dia berpakaian dengan cukup anggun, dan tersenyum ramah kepada semua orang yang dia temui.","Dheweke ngenaké amaridhining pandhewe berkah, lan tansah nggumunake marang sakring awak-awak sing wis katampa."
"Dia memiliki kemampuan untuk berbicara bahasa Indonesia dan Jawa dengan lancar, sehingga dia bisa berinteraksi dengan orang-orang di seluruh Nusantara.","Inggih manungsa iku marengaké prentah ngomong basa Indonésia lan Jawa sangun srimangké, supaya mareng jawat cakap babagan wong seberang nagara iki."
Dia selalu berusaha menikmati kehidupan dan bersyukur atas apa yang telah didapatnya.,Panjenengané isih ngrembakake piyambakipun lan ndhugemi apa sing wis digawé.
"Aku berharap bahwa kita semua dapat hidup dalam harmoni dan kasih sayang, satu sama lain, dari hari ke hari.","Aku bakal ngedhak suksma yèn kita kabèh dadi mbokhormat, hormat lan mrestani, satu karo liyane, sakjeneng dhèwèké."
"Jatuh cinta itu adalah hal yang indah, tapi kita harus hati-hati dengan perasaan kita dan sadar akan efeknya di masa depan.","Nggawe sayang kuwiapa sing apik, nanging kudu ing pikiran kita sege bersika lan pengin ngerti efektinne nang luwih sonten."
Saya secara rutin berolah raga di pagi hari untuk menjaga tubuh tetap sehat dan bersemangat.,Aku ngoleki rutin sabeng sawise dina ngriki nggo ndhukung kanggo njaga supaya tubuh tetep sehat lan suwe nguri-uri.
"Dia memasak nasi goreng di atas api kecil, sementara di meja di dekatnya dia juga mengerjakan tugas kuliahnya.","Dia nggawe nasi goreng ana ing atas api sedhih, sementara ing meja waé kene dhewe dulure pisan uga lagi kenek ngerjakake tugas kuliah."
"Dia senang bermain musik, namun dia kurang berbunga saat berinteraksi dengan orang lain.","Dilah arep ngrembug mélang, nanging durung becik nèng welas-welasan karo wong liya."
"Saya sangat bangga dengan hasil kerja keras saya, tetapi akan merasa lebih bertanggung jawab untuk menggunakan waktu yang lebih baik.","Aku wis sambat déning hasil kerjane sing tau beser, nanging bakal sambayang alesan inggo nindakake wektu sing apik liya."
"Saat menjelajahi pantai, saya suka menikmati memandang laut biru yang jernih.","Nalika kulawarga nggolekane saben pasir, sakjane kedade pingin ngliwati kaleresan laut biru sing jenengne."
"Aku senang belajar bahasa Jawa, karena cara saya merepresentasikan imajinasi saya.","Aku seneng maca bahasa Jawa, amargi kabeh carane nggawe nyataepake sampeyan gawe imajine."
"Para menteri mendiskusikan isu-isu penting di seputar masyarakat saat rapat yang diadakan di sesi tersebut, dan setelah itu mereka bekerja untuk menyusun langkah-langkah yang akan mereka tempuh hingga mencapai hasil yang sukses.","Wakil-wakil pemerintah padu ngobrol masalah penting umum saat retingé, bahasane nyusul nglakoni rancangane kang bakal nyuduanan surupane sampe nglakoni karya sing becik."
"Ia berlari secepat yang ia bisa sepanjang jalan, tetapi ia gagal mencapai tujuannya.","Ia blara nggeresan kang nekani kanthi pegat-pegat, nanging ora sukses nyebutake pangkatane."
"Dia biasanya datang ke sini sekali dalam seminggu, dan selalu membawa sesuatu yang istimewa.","Panjenengan gumantos ing kene saben dina sapopo, lan selalu nyedharaken sesuatu sing luwih apik."
Teguhlah dalam hatimu untuk terus menatap kesempatan masa depan yang diimpikan dengan penuh optimisme.,Tembunga nafa-nafanipun ing atimu supaya bisa ndeleng dhawuh karsa kang dipangreh karo sreang-sreang adoh dengan fungsi.
"Kami sangat senang bisa menikmati hari-hari panas dan cerah di tinju raya kami sendiri, yang penuh dengan kemungkinan dan harapan baru.","Kita seneng sawetara nikmati dina gedhe tinjure lan radhani sing leres, sing mesthe kahanan lan remove neban spektasi bae."
"Lebih baik berinvestasi di masa depan daripada kehidupan hanya berkutat pada masalah sekarang, karena masa depan adalah tempat dimana kita bisa menikmati hasil berinvestasinya.","Lebih becik numpuki ing masa dudi dados kersa adoh ning donyya iki, amarga masa dudi iku tempat kang bisa mblarmani alur numpukin sing diowahi."
"Aku gembira melanjutkan perjalanan ke Bandung karena menurutku, Bandung memiliki pesona yang unik.","Aku seneng olèh nglanjutaké pèlajaran nèng Bandung, amarga ya iku nduwèni swèsthi unik."
Jadilah termotivasi melalui semangat dan kerja keras untuk mencapai tujuan yang ingin Anda capai.,Ulah langkung ngadhoni spirit lan karya sing keras kanggo nggawe wangsulane sing pengin kowe nggawe.
"Dia berlari lebih cepat daripada kami, tetapi kami ekstra bersemangat untuk mendorong dirinya.","Dia lari ngakoni luwih cepet tinimbang akeh kita, nanging kita luwih percoyo mbantu wong tuwane."
"Aku suka berjalan-jalan di taman hiburan pada hari Sabtu, tapi aku lebih suka bersantai di rumah.","Aku suka melek dlingo pi taman kanggo ngeluwari wektu sampeyan Sabtu, tapi aku suka santai nang rumah."
"""Mewarnai merupakan salah satu cara untuk mengekspresikan sesuatu yang berasal dari hatimu, dan bisa juga menjadi cara untuk menghilangkan ketegangan yang kamu rasakan.""","""Nggawèni nduwé tugas kanggo ngrakèsakké kaprih sing saka ing atimu, lan bisa uga dadi cara kanggo mbusek tegangan sing kuwi dadi rasah."""
"Aku berharap untuk belajar banyak hal dari berinteraksi dengan teman-teman baru saya, dan untuk mendapatkan lebih banyak pengalaman dan pengetahuan.","Aku bapikir dadi bisa sinambung nyambut pelajaran-pelajaran anyar saka rong-rong kanca anyar, lan bisa njalari pengalaman lan ilmu luwih banyu."
Dia sangat senang melihat kedamaian dan kebahagiaan yang terpancar dari mata-mata yang rapat berkumpul.,Dheweke nyenengi ngerti soko kawujudané srengenge lan sejo kawigaten ing wajah-wajah sing gedhe.
"Pagi ini, angin bertiup segar di pepohonan, burung-burung berkicau di suatu hutan, dan cahaya matahari yang menyinari kesejukan.","Pagi iki, angin ngrawa segah ing pohon-pohonan, burung-burung paling saruwig ndeleng sawah iki, lan cahya mataharikane nyinari kesejukan."
"Di tengah malam, malam gelap yang menggelar salju yang tipis dan salju malam yang menyelimuti, seorang gadis telah berkumpul di bawah pohon mangga di taman untuk berdoa.","Saèning warung minggu, malem omel pepilih salju tepung lan salju mingguy nyelimtuti, sawijining sri telah mratata ing ngisor pohon amserial ing taman kanggo gumunang piyambak."
"Hari ini cuaca cerah dan warnanya sangat bersinar, membuat segala sesuatu di sekitarnya terlihat indah.","Iki arep anggerik, anggerik dadi banyu nguwuh ngarah cahya, enggone nyempetaken segala kana nang segara tyusing padha akèh."
"Ia datang ke sini dengan berdegungan dan tertawa, tetapi ia pergi dengan air mata dan sedih.","Ia prelu ing kono karo ngandung lan tetep ngelah, nanging iya banjur ngelingake karo ala lan sakit."
"Dia tidak memikirkan siapa yang akan memberinya nasihat, tetapi ia sangat bersyukur karena ia mendapat pertolongan dari teman-temannya yang baik.","Ora arep sob ngomongno sawijining sing bakal ngendi, nanging matur sugeng saka para sahabat sing apik kang nulungi."
"Saya akan melakukan yang terbaik untuk mencapai tujuan saya, dan saya berharap bahwa semua usaha saya akan berbuah manis.","Aku bakal nguwuh ngupaya sing paling becik kepungkul marang tujuanku, lan aku mbok-ara yèn samubarang usahaku bakal padha nganti mengapuran."
Dia hampir setiap hari dating ke toko buku karena ia ingin menemukan buku terbaik yang akan membantunya dalam belajar.,Ana wiwit saben dina keloro ing toko buku kanggo nemu buku panggonan sing bakal nulung teko nganggo ndandani.
"Ia punya kemauan yang kuat untuk melakukan hal-hal baru, tapi ia juga tidak keberatan untuk mengulangi hal-hal yang telah lama ia lakukan.","Iya berkemauan gedhe kanggo nindakake sing anyar, nanging uga ora ngirimake nglakoni maneh kang wis lamo weruh."
Dia belajar bahasa Jawa dengan giat agar bisa lebih baik mengerti dan menyebutkan kata dan kalimat dalam bahasa Jawa.,"Panjenengan nganggo aktif ngroso bahasa Jawa, njaga kedah berani ngomong lan ngucapake tembung lan ucapane ing bahasa Jawa."
"Aku senang bekerja keras dan mencapai tujuan yang telah kubuat, tetapi kebahagiaan yang sebenarnya datang dari pengalaman membantu orang lain.","Aku susah ngirim sukses ngawula target sing wis digawe, nanging kebahagiaan sing asli tansah tinuweni saking pengalaman nulung wong liyane."
"Dia menyerahkan diri kepada keadilan, tanpa ragu-ragu, karena dia yakin bahwa semua bisa mendapatkan haknya.","Dia nyerahake ndonyane marang kadilakan, tanpa ragu-ragu, awit banjur dia nyakini dene ngrembakaken hak-hak dhewe."
"Dia berbicara dengan santai, tetapi juga dengan hati-hati mengatakan bahwa dia biasa saja.","Dheweke ngobrol tanpa prenjak, nanging uga isa mikir ndeleng dheweke biasa."
"Padi menjadi berkah yang besar bagi warga desa, karena ia memberikan kemudahan keuangan dan makanan yang dibutuhkan.","Padi saget nduwen ing musuh sing apik kanggo wong desa, sabab ngasilake kasempetan finansial lan panganan sing perlu."
"Dia merencanakan perjalanan ke Bandung untuk makan siang bersama temannya, tetapi sayangnya ia tiba ke sana terlambat karena macetnya jalan.","Batur ngedolake alam piyambak menyang Bandung kanggo mandeg makan siang karo para sesebunyikane, nemayara dhedhes tanggal kuwe nggedugi akeh karena macet ing jalur."
Pohon pinus berdiri tegak di tengah pegunungan dan menyebarkan bau harumnya yang manis dan berkilauan selama bertahun-tahun.,Umo pinus sawenggi dhumateng mbentang ing wengi jurang lan menyirupake wangi kapriyan sithik manis kacang sampun bertahun-tahun.
"Dia berlari sangat cepat melintasi padang rumput, sementara seekor burung melayang di atas kepalanya.","Dheweke lari gedhe kalebu ngliwati savana, nalika sawetara burung nyeretake di dhuwur golongané."
"Dia bekerja keras untuk mencapai tujuannya, dan akhirnya berhasil meraihnya.","Dia manggon nganti nyambut tujuané, sarta samangsa langgeng akehna."
"Dia adalah satu-satunya orang yang benar-benar tahu apa yang akan dia lakukan selanjutnya, meskipun berbagai pilihan menanti di depan matanya.","Dheweké iya waé dhèwèké sapraning wong, sing bener-bener dhisik kapriye apa sing bakal dilakuake tansah, sanadyan manawa padachè pilihé nalika ana neng ndadèké."
"Kita harus bekerja keras untuk mencapai sukses, tetapi kita juga harus memastikan bahwa kita menikmati proses menuju ke sana.","Kita kudu ngrupani kerja iku nganti sampeyan sukses, nanging kita pungkasan durung absen nikmati proses sajrone bakal neksèni."
"Saya suka berenang di pantai, saat matahari mulai tenggelam, bersama dengan awan putih yang sangat indah.","Aku suka nyebrang ing pantai, nalika dinten wengi, kanthi bagëra kembang putih sing ndedonga santun."
Aku benar-benar senang sekarang karena aku telah menyelesaikan tugasku dengan cepat dan kualitas yang baik.,Aku ngarasake ponkon ngono sampun nyelesaake tugasku ing wektu cepet serta kualitase sing apik.
"Ia begitu antusias untuk musim gugur datang, ia beli banyak tas baru dan melihat-lihat dalam toko-toko di pusat kota.","Panjenengan iku antusias banget kanggo musim gugur arep piyambak, Panjenengan lila banyu tas anyar lan tinggal-tingali ing toko-toko ana ing kutha utama."
"Dia selalu berusaha bekerja keras dan berlatih jauh lebih keras lagi, agar dia bisa mencapai tujuannya.","Panjenengan bakal nindakake samesthine angger-angger kuwi, jalaran bisa manemokake target panjenengan."
"Saya akan menggunakan waktu ini untuk belajar banyak hal baru, dan saya yakin hal itu akan sangat bermanfaat bagi masa depan saya.","Saya bakal nggunakaké wektu iki kanggo nggawe maca béda, lan saya yakin macemane bakal mbantu awakké ing saparaingé saméyan."
"Dia ingin es krim di siang yang terik, tetapi akhirnya memutuskan untuk minum teh manis saja.","Panjenengan kepingin es krim kang ana ing siang mengkeli, nanging akhir-akhir iku panjenengan mutusake dhewe mbukak teh manis wae."
"Mereka berpikir bahwa mereka bisa melakukan sesuatu yang baik walaupun itu sulit, dan itu menginspirasi banyak orang untuk ikut berkontribusi.","Nanging rampung padha nganggap kalok bisa nglakoni apa sing béda ditemtokaké kanthi susah, lan kuwi nganggépi wakehé kok dadi wangsul kanggo nyumbang sawijining."
"Dengan mengikuti budaya tradisional, kami dapat melestarikan tata nilai luhur dan pengalaman yang dapat selamanya kita cintai.",Panggawe nglestare tabel nilaku luhur kanggo nampilake kinasih lan petengab pengalaman angel digawe selalu dadi saha kang bakal di suwene.
"Dia bertemu dengan orang lain di sebuah kafe malam hari, dan ia bahagia mendengarkan lagu-lagu bersama mereka sambil berbagi teh hijau dan kue manis.","Panjenengan nemu karo wong liyane ing saéke kafe wektu malem, lan glowo iku lumebet kaget kawer menyang lagu-lagu kanthi disadiya teh rawas lan kue manis."
"Gerobak yang mungil terparkir di dekat situ, namun penjual barangnya tidak berada disana.","Gerobak sing gedhe tutup kene ing ngarepé situ, nanging problem pamerané ora ana ing layar."
"Dia sangat bersemangat untuk memulai karirnya sebagai ilmuwan, tetapi dia juga mengingat bahwa dia harus membangun fondasi dengan kerja keras dan komitmen.","Panjenengané enteng nunggal kinten kanggo nunggak awali kariré minangka sain, nanging uga inget yen tanggapen asil deningPancasila sing padha angon-angon pisan kanggo ngguruki."
"Kita harus bekerja keras untuk mencapai tujuan kita, dan kita harus berdisiplin untuk mencapai tujuan yang telah kita buat.","Kita kudu kerjo keras supaya bisa ngawiti goale kita, lan kita kudu gadhah disiplin supaya bisa ngawiti cilik saka goale sing wis kita rampunga."
"Dia adalah atlet hebat yang selalu berjuang untuk meraih impiannya, dan dia merupakan contoh yang sangat baik bagi masyarakat di sekitarnya.","Panjenenganipun bocah asiki Endhut asung mlarat kanggo nyandhing kepriye, lan panjenenganipun rak example lunga kanggo wong padunungane."
"Keceriaan bisa menyebar dari satu orang ke yang lain, meningkatkan kesejahteraan moral dan spiritual di sekeliling kita.","Keceréanan bisa nyebar saka sawijining manungsamadan kang lain, nambah acèh kahéngèté kamulyan lan spiritual ing pasusur kita."
"Dia tahu bagaimana cara menyenangkan hati orang lain, dia punya kemampuan untuk memecahkan masalah manusia dengan cerdas.","Dia ngerti ora sing bakal nglumpukno rega manungsa waé, dia prelu masup precage problem akeh kono kanthi bijaksana."
"Dia mendapatkan begitu banyak pengalaman berharga ketika ia berkeliling dunia, dan ia menggunakan pengetahuannya untuk meningkatkan kehidupannya.","Panjenengané bisa nganti akeh pengalaman ayu nalika nyebarke ndunyane, lan nganggo panggrahane kiye bisa nganti maningkatke panggonane."
